Fecha,Competicion,Local,Visitante,Mercado,Pronostico,Real,ProbabilidadPronostico,Correcto,CorteEntrenamiento,Semilla
2026-05-03,POR,Sp Braga,Estoril,Resultado 1X2,LOCAL,EMPATE,0.6191011869701082,False,2026-05-03,20260916
2026-05-03,ENG,Aston Villa,Tottenham,Resultado 1X2,LOCAL,VISITANTE,0.5544800656945058,False,2026-05-03,20260916
2026-05-03,ESP,Getafe,Vallecano,Resultado 1X2,VISITANTE,VISITANTE,0.3651504148976896,True,2026-05-03,20260916
2026-05-03,ENG,Man United,Liverpool,Resultado 1X2,VISITANTE,LOCAL,0.4136124777719074,False,2026-05-03,20260916
2026-05-03,TUR,Karagumruk,Genclerbirligi,Resultado 1X2,LOCAL,LOCAL,0.5040403022154302,True,2026-05-03,20260916
2026-05-03,TUR,Antalyaspor,Alanyaspor,Resultado 1X2,VISITANTE,EMPATE,0.3831998136309424,False,2026-05-03,20260916
2026-05-03,POR,Casa Pia,Tondela,Resultado 1X2,EMPATE,VISITANTE,0.39162559633946914,False,2026-05-03,20260916
2026-05-04,ESP,Sevilla,Sociedad,Resultado 1X2,LOCAL,LOCAL,0.39721794646912356,True,2026-05-03,20260916
2026-05-04,ENG,Everton,Man City,Resultado 1X2,VISITANTE,EMPATE,0.5306773095869218,False,2026-05-03,20260916
2026-05-04,ENG,Chelsea,Nott'm Forest,Resultado 1X2,VISITANTE,VISITANTE,0.3737987004702162,True,2026-05-03,20260916
2026-05-09,ENG,Liverpool,Chelsea,Resultado 1X2,LOCAL,EMPATE,0.5295454426201562,False,2026-05-03,20260916
2026-05-09,ENG,Fulham,Bournemouth,Resultado 1X2,VISITANTE,VISITANTE,0.4219169585511503,True,2026-05-03,20260916
2026-05-10,ENG,West Ham,Arsenal,Resultado 1X2,VISITANTE,VISITANTE,0.562073987945822,True,2026-05-03,20260916
2026-05-10,ENG,Crystal Palace,Everton,Resultado 1X2,LOCAL,EMPATE,0.3704128884749965,False,2026-05-03,20260916
2026-05-10,POR,Alverca,Estoril,Resultado 1X2,LOCAL,EMPATE,0.4140037232879665,False,2026-05-03,20260916
2026-05-10,ESP,Mallorca,Villarreal,Resultado 1X2,VISITANTE,EMPATE,0.4209059996519354,False,2026-05-03,20260916
